pathway	systematicName
BIOCARTA_CB1R_PATHWAY	M22054
BIOCARTA_CBL_PATHWAY	M16973
BIOCARTA_CCR3_PATHWAY	M9152
BIOCARTA_CCR5_PATHWAY	M2349
BIOCARTA_CD40_PATHWAY	M16697
BIOCARTA_CDC25_PATHWAY	M22031
BIOCARTA_CDC42RAC_PATHWAY	M5291
BIOCARTA_CDK5_PATHWAY	M89
BIOCARTA_CDMAC_PATHWAY	M4388
BIOCARTA_CELL2CELL_PATHWAY	M12851
BIOCARTA_CELLCYCLE_PATHWAY	M17770
BIOCARTA_CERAMIDE_PATHWAY	M19943
BIOCARTA_CFTR_PATHWAY	M12399
BIOCARTA_CHEMICAL_PATHWAY	M3873
BIOCARTA_CHREBP_PATHWAY	M22004
BIOCARTA_CIRCADIAN_PATHWAY	M22067
BIOCARTA_CK1_PATHWAY	M16626
BIOCARTA_CLASSIC_PATHWAY	M7146
BIOCARTA_COMP_PATHWAY	M917
BIOCARTA_CPSF_PATHWAY	M22041
BIOCARTA_CREB_PATHWAY	M9070
BIOCARTA_CREM_PATHWAY	M22012
BIOCARTA_CSK_PATHWAY	M6327
BIOCARTA_CTBP1_PATHWAY	M22019
BIOCARTA_CTCF_PATHWAY	M11420
BIOCARTA_CTL_PATHWAY	M1462
BIOCARTA_CTLA4_PATHWAY	M1467
BIOCARTA_CXCR4_PATHWAY	M882
BIOCARTA_CYTOKINE_PATHWAY	M17406
BIOCARTA_D4GDI_PATHWAY	M15513
BIOCARTA_DC_PATHWAY	M9177
BIOCARTA_DEATH_PATHWAY	M14971
BIOCARTA_DICER_PATHWAY	M22079
BIOCARTA_DNAFRAGMENT_PATHWAY	M7239
BIOCARTA_DREAM_PATHWAY	M18899
BIOCARTA_DSP_PATHWAY	M22032
BIOCARTA_ECM_PATHWAY	M6355
BIOCARTA_EDG1_PATHWAY	M10579
BIOCARTA_EEA1_PATHWAY	M22064
BIOCARTA_EFP_PATHWAY	M22011
BIOCARTA_EGF_PATHWAY	M1909
BIOCARTA_EGFR_SMRTE_PATHWAY	M18837
BIOCARTA_EICOSANOID_PATHWAY	M22003
BIOCARTA_EIF2_PATHWAY	M6924
BIOCARTA_EIF4_PATHWAY	M4791
BIOCARTA_EIF_PATHWAY	M7721
BIOCARTA_EOSINOPHILS_PATHWAY	M22048
BIOCARTA_EPHA4_PATHWAY	M16334
BIOCARTA_EPO_PATHWAY	M12836
BIOCARTA_EPONFKB_PATHWAY	M6917
BIOCARTA_ERAD_PATHWAY	M22013
BIOCARTA_ERBB3_PATHWAY	M22018
BIOCARTA_ERBB4_PATHWAY	M22043
BIOCARTA_ERK5_PATHWAY	M16811
BIOCARTA_ERK_PATHWAY	M287
BIOCARTA_ERYTH_PATHWAY	M9367
BIOCARTA_ETC_PATHWAY	M15371
BIOCARTA_ETS_PATHWAY	M14449
BIOCARTA_EXTRINSIC_PATHWAY	M4470
BIOCARTA_FAS_PATHWAY	M9503
BIOCARTA_FBW7_PATHWAY	M22053
BIOCARTA_FCER1_PATHWAY	M1908
BIOCARTA_FEEDER_PATHWAY	M3061
BIOCARTA_FIBRINOLYSIS_PATHWAY	M2842
BIOCARTA_FLUMAZENIL_PATHWAY	M22034
BIOCARTA_FMLP_PATHWAY	M10287
BIOCARTA_FOSB_PATHWAY	M22073
BIOCARTA_FREE_PATHWAY	M96
BIOCARTA_FXR_PATHWAY	M22022
BIOCARTA_G1_PATHWAY	M648
BIOCARTA_G2_PATHWAY	M8560
BIOCARTA_GABA_PATHWAY	M477
BIOCARTA_GATA3_PATHWAY	M1394
BIOCARTA_GCR_PATHWAY	M10066
BIOCARTA_GH_PATHWAY	M9043
BIOCARTA_GHRELIN_PATHWAY	M22016
BIOCARTA_GLEEVEC_PATHWAY	M7897
BIOCARTA_GPCR_PATHWAY	M9664
BIOCARTA_GRANULOCYTES_PATHWAY	M5467
BIOCARTA_GSK3_PATHWAY	M11106
BIOCARTA_HBX_PATHWAY	M22037
BIOCARTA_HCMV_PATHWAY	M8353
BIOCARTA_HDAC_PATHWAY	M1547
BIOCARTA_HER2_PATHWAY	M18719
BIOCARTA_HES_PATHWAY	M22042
BIOCARTA_HIF_PATHWAY	M13324
BIOCARTA_HIVNEF_PATHWAY	M13968
BIOCARTA_HSP27_PATHWAY	M2587
BIOCARTA_HSWI_SNF_PATHWAY	M22006
BIOCARTA_IFNA_PATHWAY	M22056
BIOCARTA_IFNG_PATHWAY	M22085
BIOCARTA_IGF1_PATHWAY	M2623
BIOCARTA_IGF1MTOR_PATHWAY	M16991
BIOCARTA_IGF1R_PATHWAY	M19613
BIOCARTA_IL10_PATHWAY	M6778
BIOCARTA_IL12_PATHWAY	M4319
BIOCARTA_IL17_PATHWAY	M19422
BIOCARTA_IL1R_PATHWAY	M12095
BIOCARTA_IL22BP_PATHWAY	M8066
BIOCARTA_IL2_PATHWAY	M7747
BIOCARTA_IL2RB_PATHWAY	M8615
BIOCARTA_IL3_PATHWAY	M17681
BIOCARTA_IL4_PATHWAY	M5415
BIOCARTA_IL5_PATHWAY	M18928
BIOCARTA_IL6_PATHWAY	M5489
BIOCARTA_IL7_PATHWAY	M1296
BIOCARTA_INFLAM_PATHWAY	M6910
BIOCARTA_INSULIN_PATHWAY	M765
BIOCARTA_INTEGRIN_PATHWAY	M3342
BIOCARTA_INTRINSIC_PATHWAY	M15997
BIOCARTA_ION_PATHWAY	M22059
BIOCARTA_IRES_PATHWAY	M22028
BIOCARTA_KERATINOCYTE_PATHWAY	M19118
BIOCARTA_KREB_PATHWAY	M6831
BIOCARTA_LAIR_PATHWAY	M3952
BIOCARTA_LDL_PATHWAY	M22051
BIOCARTA_LECTIN_PATHWAY	M4732
BIOCARTA_LEPTIN_PATHWAY	M18053
BIOCARTA_LIS1_PATHWAY	M22005
BIOCARTA_LONGEVITY_PATHWAY	M13158
BIOCARTA_LYM_PATHWAY	M1469
BIOCARTA_LYMPHOCYTE_PATHWAY	M22008
BIOCARTA_MAL_PATHWAY	M10547
BIOCARTA_MALATEX_PATHWAY	M22038
BIOCARTA_MAPK_PATHWAY	M13863
BIOCARTA_MCALPAIN_PATHWAY	M8719
BIOCARTA_MCM_PATHWAY	M6682
BIOCARTA_MEF2D_PATHWAY	M5290
BIOCARTA_MELANOCYTE_PATHWAY	M22035
BIOCARTA_MET_PATHWAY	M19358
BIOCARTA_MHC_PATHWAY	M22023
BIOCARTA_MITOCHONDRIA_PATHWAY	M16257
BIOCARTA_MITR_PATHWAY	M22065
BIOCARTA_MONOCYTE_PATHWAY	M4956
BIOCARTA_MPR_PATHWAY	M13883
BIOCARTA_MRP_PATHWAY	M22078
BIOCARTA_MSP_PATHWAY	M22069
BIOCARTA_MTA3_PATHWAY	M225
BIOCARTA_MTOR_PATHWAY	M16563
BIOCARTA_MYOSIN_PATHWAY	M7014
BIOCARTA_NDKDYNAMIN_PATHWAY	M5940
BIOCARTA_NEUTROPHIL_PATHWAY	M22010
BIOCARTA_NFAT_PATHWAY	M2288
BIOCARTA_NFKB_PATHWAY	M15285
BIOCARTA_NGF_PATHWAY	M7860
BIOCARTA_NKCELLS_PATHWAY	M16355
BIOCARTA_NKT_PATHWAY	M4047
BIOCARTA_NO1_PATHWAY	M4383
BIOCARTA_NO2IL12_PATHWAY	M6231
BIOCARTA_NOS1_PATHWAY	M11650
BIOCARTA_NOTCH_PATHWAY	M22074
BIOCARTA_NPC_PATHWAY	M22033
BIOCARTA_NPP1_PATHWAY	M22040
BIOCARTA_NTHI_PATHWAY	M2821
BIOCARTA_NUCLEARRS_PATHWAY	M16393
BIOCARTA_P27_PATHWAY	M17977
BIOCARTA_P35ALZHEIMERS_PATHWAY	M12718
BIOCARTA_P38MAPK_PATHWAY	M862
BIOCARTA_P53_PATHWAY	M14863
BIOCARTA_P53HYPOXIA_PATHWAY	M5202
BIOCARTA_PAR1_PATHWAY	M3494
BIOCARTA_PARKIN_PATHWAY	M13917
BIOCARTA_PCAF_PATHWAY	M22007
BIOCARTA_PDGF_PATHWAY	M2529
BIOCARTA_PDZS_PATHWAY	M22001
BIOCARTA_PELP1_PATHWAY	M22062
BIOCARTA_PEPI_PATHWAY	M22084
BIOCARTA_PGC1A_PATHWAY	M15181
BIOCARTA_PITX2_PATHWAY	M8516
BIOCARTA_PKC_PATHWAY	M22057
BIOCARTA_PLATELETAPP_PATHWAY	M6487
BIOCARTA_PLC_PATHWAY	M22029
BIOCARTA_PLCD_PATHWAY	M22080
BIOCARTA_PLCE_PATHWAY	M5576
BIOCARTA_PLK3_PATHWAY	M22021
BIOCARTA_PML_PATHWAY	M4891
BIOCARTA_PPARA_PATHWAY	M2404
BIOCARTA_PPARG_PATHWAY	M22058
BIOCARTA_PRC2_PATHWAY	M22025
BIOCARTA_PRION_PATHWAY	M22020
BIOCARTA_PROTEASOME_PATHWAY	M194
BIOCARTA_PS1_PATHWAY	M16173
BIOCARTA_PTC1_PATHWAY	M13022
BIOCARTA_PTDINS_PATHWAY	M8809
BIOCARTA_PTEN_PATHWAY	M10145
BIOCARTA_PYK2_PATHWAY	M7739
BIOCARTA_RAB_PATHWAY	M8179
BIOCARTA_RAC1_PATHWAY	M8601
BIOCARTA_RACC_PATHWAY	M22002
BIOCARTA_RACCYCD_PATHWAY	M14512
BIOCARTA_RAN_PATHWAY	M22082
BIOCARTA_RANBP2_PATHWAY	M22027
BIOCARTA_RANKL_PATHWAY	M2602
BIOCARTA_RANMS_PATHWAY	M17370
BIOCARTA_RARRXR_PATHWAY	M6907
BIOCARTA_RAS_PATHWAY	M17294
BIOCARTA_RB_PATHWAY	M18159
BIOCARTA_RECK_PATHWAY	M22068
BIOCARTA_REELIN_PATHWAY	M22049
BIOCARTA_RELA_PATHWAY	M10183
BIOCARTA_RHO_PATHWAY	M1001
BIOCARTA_RHODOPSIN_PATHWAY	M22044
BIOCARTA_RNA_PATHWAY	M10570
BIOCARTA_RNAPOL3_PATHWAY	M22046
BIOCARTA_S1P_PATHWAY	M22036
BIOCARTA_SALMONELLA_PATHWAY	M16120
BIOCARTA_SAM68_PATHWAY	M22052
BIOCARTA_SARS_PATHWAY	M5374
BIOCARTA_SET_PATHWAY	M3075
BIOCARTA_SHH_PATHWAY	M11792
BIOCARTA_SKP2E2F_PATHWAY	M6031
BIOCARTA_SLRP_PATHWAY	M22071
BIOCARTA_SM_PATHWAY	M22026
BIOCARTA_SODD_PATHWAY	M2699
BIOCARTA_SPPA_PATHWAY	M8731
BIOCARTA_SPRY_PATHWAY	M1389
BIOCARTA_SRCRPTP_PATHWAY	M10994
BIOCARTA_STAT3_PATHWAY	M22063
BIOCARTA_STATHMIN_PATHWAY	M16966
BIOCARTA_STEM_PATHWAY	M5298
BIOCARTA_STRESS_PATHWAY	M9670
BIOCARTA_SUMO_PATHWAY	M22055
BIOCARTA_TALL1_PATHWAY	M12985
BIOCARTA_TCAPOPTOSIS_PATHWAY	M16519
BIOCARTA_TCR_PATHWAY	M19784
BIOCARTA_TCRA_PATHWAY	M10765
BIOCARTA_TCYTOTOXIC_PATHWAY	M13247
BIOCARTA_TEL_PATHWAY	M10401
BIOCARTA_TERC_PATHWAY	M22047
BIOCARTA_TERT_PATHWAY	M22015
BIOCARTA_TFF_PATHWAY	M15926
BIOCARTA_TGFB_PATHWAY	M18933
BIOCARTA_TH1TH2_PATHWAY	M6705
BIOCARTA_THELPER_PATHWAY	M6427
BIOCARTA_TID_PATHWAY	M9546
BIOCARTA_TNFR1_PATHWAY	M3618
BIOCARTA_TNFR2_PATHWAY	M10082
BIOCARTA_TOB1_PATHWAY	M18215
BIOCARTA_TOLL_PATHWAY	M984
BIOCARTA_TPO_PATHWAY	M11520
BIOCARTA_TRKA_PATHWAY	M9134
BIOCARTA_TSP1_PATHWAY	M22039
BIOCARTA_TUBBY_PATHWAY	M22076
BIOCARTA_UCALPAIN_PATHWAY	M13143
BIOCARTA_VDR_PATHWAY	M13404
BIOCARTA_VEGF_PATHWAY	M12975
BIOCARTA_VIP_PATHWAY	M17941
BIOCARTA_VITCB_PATHWAY	M15422
BIOCARTA_VOBESITY_PATHWAY	M22017
BIOCARTA_WNT_LRP6_PATHWAY	M22083
BIOCARTA_WNT_PATHWAY	M16517
KEGG_ABC_TRANSPORTERS	M11911
KEGG_ACUTE_MYELOID_LEUKEMIA	M19888
KEGG_ADHERENS_JUNCTION	M638
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	M10462
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	M17758
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	M16473
KEGG_ALLOGRAFT_REJECTION	M18615
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	M311
KEGG_ALZHEIMERS_DISEASE	M16024
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	M8104
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	M14691
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	M3812
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	M16004
KEGG_APOPTOSIS	M8492
KEGG_ARACHIDONIC_ACID_METABOLISM	M5410
KEGG_ARGININE_AND_PROLINE_METABOLISM	M2551
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	M16376
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	M605
KEGG_ASTHMA	M13950
KEGG_AUTOIMMUNE_THYROID_DISEASE	M13103
KEGG_AXON_GUIDANCE	M5539
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	M5436
KEGG_BASAL_CELL_CARCINOMA	M17807
KEGG_BASAL_TRANSCRIPTION_FACTORS	M4864
KEGG_BASE_EXCISION_REPAIR	M5500
KEGG_BETA_ALANINE_METABOLISM	M2668
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	M11673
KEGG_BLADDER_CANCER	M19096
KEGG_BUTANOATE_METABOLISM	M3397
KEGG_CALCIUM_SIGNALING_PATHWAY	M2890
KEGG_CARDIAC_MUSCLE_CONTRACTION	M17673
KEGG_CELL_ADHESION_MOLECULES_CAMS	M16476
KEGG_CELL_CYCLE	M7963
KEGG_CHEMOKINE_SIGNALING_PATHWAY	M4844
KEGG_CHRONIC_MYELOID_LEUKEMIA	M321
KEGG_CIRCADIAN_RHYTHM_MAMMAL	M18009
KEGG_CITRATE_CYCLE_TCA_CYCLE	M3985
KEGG_COLORECTAL_CANCER	M14631
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	M16894
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	M10911
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	M9809
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	M11844
KEGG_DILATED_CARDIOMYOPATHY	M835
KEGG_DNA_REPLICATION	M16853
KEGG_DORSO_VENTRAL_AXIS_FORMATION	M11190
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	M9257
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	M17726
KEGG_ECM_RECEPTOR_INTERACTION	M7098
KEGG_ENDOCYTOSIS	M1519
KEGG_ENDOMETRIAL_CANCER	M19877
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	M16848
KEGG_ERBB_SIGNALING_PATHWAY	M12467
KEGG_ETHER_LIPID_METABOLISM	M2130
KEGG_FATTY_ACID_METABOLISM	M699
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	M11816
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	M16121
KEGG_FOCAL_ADHESION	M7253
KEGG_FOLATE_BIOSYNTHESIS	M2220
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	M15898
KEGG_GALACTOSE_METABOLISM	M4377
KEGG_GAP_JUNCTION	M4013
KEGG_GLIOMA	M1835
KEGG_GLUTATHIONE_METABOLISM	M1840
KEGG_GLYCEROLIPID_METABOLISM	M15902
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	M9131
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	M766
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	M11521
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	M19166
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	M7330
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	M3042
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	M3624
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	M8535
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	M12899
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	M17377
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	M13265
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	M5244
KEGG_GNRH_SIGNALING_PATHWAY	M1979
KEGG_GRAFT_VERSUS_HOST_DISEASE	M13519
KEGG_HEDGEHOG_SIGNALING_PATHWAY	M1053
KEGG_HEMATOPOIETIC_CELL_LINEAGE	M6856
KEGG_HISTIDINE_METABOLISM	M12524
KEGG_HOMOLOGOUS_RECOMBINATION	M11675
KEGG_HUNTINGTONS_DISEASE	M13486
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM	M8728
KEGG_INOSITOL_PHOSPHATE_METABOLISM	M3896
KEGG_INSULIN_SIGNALING_PATHWAY	M18155
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	M615
KEGG_JAK_STAT_SIGNALING_PATHWAY	M17411
KEGG_LEISHMANIA_INFECTION	M3126
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	M2164
KEGG_LIMONENE_AND_PINENE_DEGRADATION	M17395
KEGG_LINOLEIC_ACID_METABOLISM	M2920
KEGG_LONG_TERM_DEPRESSION	M8232
KEGG_LONG_TERM_POTENTIATION	M3115
KEGG_LYSINE_DEGRADATION	M13720
KEGG_LYSOSOME	M11266
KEGG_MAPK_SIGNALING_PATHWAY	M10792
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	M18312
KEGG_MELANOGENESIS	M7761
KEGG_MELANOMA	M15798
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	M16794
KEGG_MISMATCH_REPAIR	M13515
KEGG_MTOR_SIGNALING_PATHWAY	M7561
KEGG_N_GLYCAN_BIOSYNTHESIS	M11079
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	M5669
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	M13380
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	M16763
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	M19895
KEGG_NITROGEN_METABOLISM	M4629
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	M15569
KEGG_NON_HOMOLOGOUS_END_JOINING	M7857
KEGG_NON_SMALL_CELL_LUNG_CANCER	M19818
KEGG_NOTCH_SIGNALING_PATHWAY	M7946
KEGG_NUCLEOTIDE_EXCISION_REPAIR	M18937
KEGG_O_GLYCAN_BIOSYNTHESIS	M6929
KEGG_OLFACTORY_TRANSDUCTION	M14091
KEGG_ONE_CARBON_POOL_BY_FOLATE	M12039
KEGG_OOCYTE_MEIOSIS	M16817
KEGG_OTHER_GLYCAN_DEGRADATION	M17844
KEGG_OXIDATIVE_PHOSPHORYLATION	M19540
KEGG_P53_SIGNALING_PATHWAY	M6370
KEGG_PANCREATIC_CANCER	M9726
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	M7528
KEGG_PARKINSONS_DISEASE	M7272
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	M2333
KEGG_PATHWAYS_IN_CANCER	M12868
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	M19580
KEGG_PENTOSE_PHOSPHATE_PATHWAY	M1386
KEGG_PEROXISOME	M6391
KEGG_PHENYLALANINE_METABOLISM	M16650
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	M9052
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	M7399
KEGG_PPAR_SIGNALING_PATHWAY	M13088
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	M3214
KEGG_PRIMARY_IMMUNODEFICIENCY	M4085
KEGG_PRION_DISEASES	M13036
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	M3578
KEGG_PROPANOATE_METABOLISM	M4086
KEGG_PROSTATE_CANCER	M13191
KEGG_PROTEASOME	M10680
KEGG_PROTEIN_EXPORT	M6981
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION	M4361
KEGG_PURINE_METABOLISM	M14314
KEGG_PYRIMIDINE_METABOLISM	M5109
KEGG_PYRUVATE_METABOLISM	M7934
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	M18306
KEGG_REGULATION_OF_AUTOPHAGY	M6382
KEGG_RENAL_CELL_CARCINOMA	M13266
KEGG_RENIN_ANGIOTENSIN_SYSTEM	M17636
KEGG_RETINOL_METABOLISM	M9488
KEGG_RIBOFLAVIN_METABOLISM	M6889
KEGG_RIBOSOME	M189
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	M15913
KEGG_RNA_DEGRADATION	M963
KEGG_RNA_POLYMERASE	M1724
KEGG_SELENOAMINO_ACID_METABOLISM	M7151
KEGG_SMALL_CELL_LUNG_CANCER	M3228
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	M17857
KEGG_SPHINGOLIPID_METABOLISM	M15955
KEGG_SPLICEOSOME	M2044
KEGG_STARCH_AND_SUCROSE_METABOLISM	M14171
KEGG_STEROID_BIOSYNTHESIS	M5872
KEGG_STEROID_HORMONE_BIOSYNTHESIS	M14933
KEGG_SULFUR_METABOLISM	M18256
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	M4741
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	M9904
KEGG_TASTE_TRANSDUCTION	M5785
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	M12882
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	M13465
KEGG_TGF_BETA_SIGNALING_PATHWAY	M2642
KEGG_THYROID_CANCER	M523
KEGG_TIGHT_JUNCTION	M11355
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	M3261
KEGG_TRYPTOPHAN_METABOLISM	M980
KEGG_TYPE_I_DIABETES_MELLITUS	M12617
KEGG_TYPE_II_DIABETES_MELLITUS	M19708
KEGG_TYROSINE_METABOLISM	M16743
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	M15247
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	M17946
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	M11835
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	M9387
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	M9011
KEGG_VEGF_SIGNALING_PATHWAY	M1749
KEGG_VIBRIO_CHOLERAE_INFECTION	M17906
KEGG_VIRAL_MYOCARDITIS	M12294
KEGG_WNT_SIGNALING_PATHWAY	M19428
NABA_BASEMENT_MEMBRANES	M5887
NABA_COLLAGENS	M3005
NABA_CORE_MATRISOME	M5884
NABA_ECM_AFFILIATED	M5880
NABA_ECM_GLYCOPROTEINS	M3008
NABA_ECM_REGULATORS	M3468
NABA_MATRISOME	M5889
NABA_MATRISOME_ASSOCIATED	M5885
NABA_PROTEOGLYCANS	M5882
NABA_SECRETED_FACTORS	M5883
PID_A6B1_A6B4_INTEGRIN_PATHWAY	M239
PID_AJDISS_2PATHWAY	M142
PID_ALK1_PATHWAY	M185
PID_ALK2_PATHWAY	M203
PID_ALPHA_SYNUCLEIN_PATHWAY	M275
PID_AMB2_NEUTROPHILS_PATHWAY	M159
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY	M92
PID_ANTHRAX_PATHWAY	M267
PID_AP1_PATHWAY	M167
PID_AR_NONGENOMIC_PATHWAY	M213
PID_AR_PATHWAY	M58
PID_AR_TF_PATHWAY	M151
PID_ARF6_DOWNSTREAM_PATHWAY	M120
PID_ARF6_PATHWAY	M86
PID_ARF6_TRAFFICKING_PATHWAY	M67
PID_ARF_3PATHWAY	M243
PID_ATF2_PATHWAY	M166
PID_ATM_PATHWAY	M84
PID_ATR_PATHWAY	M46
PID_AURORA_A_PATHWAY	M242
PID_AURORA_B_PATHWAY	M14
PID_AVB3_INTEGRIN_PATHWAY	M160
PID_AVB3_OPN_PATHWAY	M63
PID_BARD1_PATHWAY	M258
PID_BCR_5PATHWAY	M10
PID_BETA_CATENIN_DEG_PATHWAY	M31
PID_BETA_CATENIN_NUC_PATHWAY	M223
PID_BMP_PATHWAY	M181
PID_CASPASE_PATHWAY	M220
PID_CD40_PATHWAY	M45
PID_CD8_TCR_DOWNSTREAM_PATHWAY	M272
PID_CD8_TCR_PATHWAY	M88
PID_CDC42_PATHWAY	M81
PID_CDC42_REG_PATHWAY	M83
PID_CERAMIDE_PATHWAY	M144
PID_CIRCADIAN_PATHWAY	M95
PID_CMYB_PATHWAY	M195
PID_CONE_PATHWAY	M117
PID_CXCR3_PATHWAY	M222
PID_CXCR4_PATHWAY	M124
